name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"bloomington, mn",2024-05-22,70.1,53.4,62.5,70.1,53.4,62.5,47.5,60.6,0.036,100,16.67,rain,0,0,35.2,19.5,275.3,1003.8,53.3,9.7,141.6,12.3,9,10,2024-05-22T05:37:12,2024-05-22T20:43:26,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-23,79,54.8,67.9,79,54.8,67.9,48.1,51.4,0,0,0,,0,0,18.3,12.2,181.5,1009,36.4,9.9,195,16.9,10,10,2024-05-23T05:36:21,2024-05-23T20:44:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-24,72,50.6,63.6,72,50.6,63.6,49.4,60.7,0.206,100,12.5,rain,0,0,43.6,22.8,199.4,1002.3,76.6,9.6,107,9.2,6,10,2024-05-24T05:35:32,2024-05-24T20:45:27,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-25,74.4,47.7,61.4,74.4,44.4,60.5,45.8,58.5,0,0,0,,0,0,37.9,19.7,219,1007.6,28.6,9.9,168.4,14.6,10,10,2024-05-25T05:34:44,2024-05-25T20:46:26,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-26,68.6,57.2,62.6,68.6,57.2,62.6,50.4,65.1,0.021,100,16.67,rain,0,0,29.9,12.4,73,1005.2,69.5,9.7,65.2,5.8,3,10,2024-05-26T05:33:59,2024-05-26T20:47:23,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-27,65.3,52,57.5,65.3,52,57.5,51.9,82,0.323,100,37.5,rain,0,0,25.4,9.4,309.3,1009,64.3,9.2,77,6.8,4,10,2024-05-27T05:33:16,2024-05-27T20:48:20,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-28,66.2,52.1,58.7,66.2,52.1,58.7,49.4,73.2,0.151,100,37.5,rain,0,0,32.2,13.1,333.8,1017.9,71.5,9.8,124.8,10.7,9,10,2024-05-28T05:32:35,2024-05-28T20:49:15,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-29,71.3,49.5,61.6,71.3,48.4,61.5,46.7,60.8,0,0,0,,0,0,11.4,8.3,81,1022.8,15.6,9.8,224.8,19.4,10,10,2024-05-29T05:31:56,2024-05-29T20:50:09,0.72,Clear,Clear conditions throughout the day.,clear-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-30,78.3,55.8,68,78.3,55.8,68,48.1,50.9,0,0,0,,0,0,30.3,17.5,157.5,1018.9,38.2,9.9,163,14.2,9,10,2024-05-30T05:31:20,2024-05-30T20:51:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
"bloomington, mn",2024-05-31,68.2,61.5,64.6,68.2,61.5,64.6,56.3,76.6,0.388,100,66.67,rain,0,0,19.7,9.9,153.6,1018,93.8,8.1,55.5,4.7,2,10,2024-05-31T05:30:45,2024-05-31T20:51:53,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72657994963,KFCM,KLVN,F1349,72658014922,KMSP,72660304974"
